question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
"154. a 50yo man has a stab wound to his left anterior chest at the level of the 4th ics. he has a bp 80mmhg, pulse=130bpm. his neck veins are dilated and his heart sounds are faint. his trachea is central. what is the most appropriate dx?",a. cardiac tamponade,b. diaphragmatic rupture,c. fractured ribs,d. tension pneumothorax,e. traumatic rupture of aorta,,,,,,key: 1. theakey is cardiac tempoade. key: 2. points in favour: i) systolic bp 80 mmhg ii) pulse 130 bpm iii) engorged neck vein iv) faint heart sounds v) trachea is central.,,
"155.  a 15yo boy has a soft painless swelling in the left scrotum, blue in color and can be compressed. what is the most appropriate next step?",a. analgesia,b. antibiotic,c. biopsy,d. immediate surgery,e. reassurance,,,,,,key: 1. the key is e. reassurance. key: 2. name of the condition is varicocele.,,
"156. a 12yo pt presents with copious diarrhea. exam: urine output=low, mucous membrane=dry, skin turgor=low. what is the most appropriate initial management?",a. antibiotic,b. antimotility,c. anti-emetic,d. fluid replacement,e. reassurance,,,,,,key: 1. the key is d. fluid replacement. key: 2. diagnosis is severe dehydration. points in favour: i) low urine output ii) dry mucous membrane and iii) low skin turgor.,,
"157. a 60yo smoker presents with cramp-like pain in the calves relived by rest and non-healing ulcers. exam: cold extremities with lack of hair around the ankles, absent distal pulses. what is the most probable dx?",a. intermittent claudication,b. chronic ischemia of the limbs,c. buerger’s disease,d. dvt,e. dm,,,,,,"key: 1. the key is b. chronic ischaemia of the limb. key: 2. intermittent claudication is a symptom not diagnosis. it is not buerger’s disease as buerger occur in more younger heavy smoker (before the age of 50yrs), it is not dvt as dvt pain or tenderness is not of an intermittent claudication pattern.  again in dm there is no intermittent claudication.",,
158. an otherwise healthy 13yo boy presents with recurrent episodes of facial and tongue swelling and abdominal pain. his father has had similar episodes. what is the most likely dx?,a. c1 esterase deficiency,b. hiv,c. mumps,d. sarcoidosis,e. sjogren’s syndrome,,,,,,key: 1. the key is a. c1 esterase inhibitor deficiency. key: 2. hereditary angioedema. key: 3. acquired angeoedema usually manifest after the age of 40 yrs.,,
"159. a 25yo had an lscs 24h ago for fetal distress. she now complains of intermittent vaginal bleeding. observations: o2 sat=98% in air, bp=124/82mmhg, pulse=84bpm, temp=37.8c. the midwife tells you that she had a retained placenta, which required manual removal in the ot. choose the most appropriate c-section complication in this case?",a. retained poc,b. aspiration pneumonitis,c. endometritis,d. uterine rupture,e. dic,,,,,,"key: 1. the key is c. endometritis. key: 2. more handling of tissue like manual removal of placenta, intermittent vaginal bleeding and raised temperature points toward infective process like endometritis.",,
160. a 30yo woman has brief episodes of severe shooting pain in the rectum. rectal examination and flexible sigmoidoscopy are normal. what is the most probable dx?,a. anal hematoma,b. anal fissure,c. rectal carcinoma,d. proctalgia fugax,e. piles,,,,,,key: is d. proctagia fugax [normal rectal examination and flexible sigmoidoscopy excludes other options].,,
"161. a 78yo male, dm and htn, had a fall and since then is unable to walk. he presents with deformity and tenderness over the right hip area. xr=fx of femur neck. what is the single most associated nerve injury?",a. sciatic nerve,b. gluteal nerve,c. lateral peroneal nerve,d. tibial nerve,e. femoral nerve,,,,,,key: the key is a. sciatic nerve. [sciatic nerve injury though may occur but may not be very common!],,
"162. a 20yo man has a head on collision in a car. on presentation he is breathless, has chest pain and fx of 5-7th rib. cxr confirms this. what is the most appropriate initial action in this pt?",a. antibiotics,b. analgesia,c. o2 by mask,d. physiotherapy,e. refer to surgeon,,,,,,key: the key is c. o2 by mask. [there was debate in this forum that pain relief should be given first which will automatically relieve breathing problem. but others told o2 first]. o2 first is the correct answer!  [http://www.urmc.rochester.edu/encyclopedia/content.aspx?contenttypeid=22&contentid=flailchest],,
"163. a 28yo man with complains of headache and nose bleeds also has pain in the lower limbs on exertion. exam: radio-femoral delay, cold legs with weak pulse and mild systolic murmur with normal s1s2. what is the most probable dx?",a. tof,b. asd,c. vsd,d. pda,e. coa,,,,,,"key: the key is coarctation of aorta. [headache and nosebleeds - >hypertension, pain in lower limb on exertion -> as reduced blood supply to leg due to coarctation, radio-femoral delay, cold legs with week pulse, mid-systolic murmur are all features of coarctation of aorta].",,
"164. a 23yo male has a tonic clonic seizure whilst at college. his gcs is 12, bp=120/77mmhg, hr=99bpm. what is the most appropriate inv for his condition?",a. ct,b. mri,c. serum blood glucose,d. serum drug levels,,,,,,,"key: the key is c. serum blood glucose [it is also possible that he may have taken drug, even though first we have to do serum glucose as low blood glucose can be very easily managed and it needs urgent management to save life. if it is excluded then we can look for other causes which may be not fatal in short time as hypoglycaemia].",,
165. a 20yo man complains of recent onset of itching which followed a viral infection. there are numerous wheals of all sizes on his skin particularly after he has scratched it. these can last up to an hour. what is the most probable dx?,a. uremia,b. urticaria,c. psychogenic itching,d. atopic eczema,e. primary biliary cirrhosis,,,,,,key: the key is b. urticaria.,,
166. a 75yo lady who had mitral valve replacement 13 yrs ago has developed recurrent breathlessness. her husband has noticed prominent pulsation in her neck. she complains of abdominal pain and ankle swelling. what is the most probable dx?,a. aortic regurgitation,b. mitral regurgitation,c. mitral stenosis,d. tricuspid regurgitation,e. pulmonary stenosis,,,,,,"key: the key is d. tricuspid regurgitation. [points in favour: i) recurrent breathlessness – if the cause is lv dysfunction, ii) prominent pulsation in the neck – giant v waves, iii) abdominal pain – pain in liver on exertion, ankle swelling; these are features of tricuspid regurgitation.  reference:- ohcm, 9th edition, page- 142].",,
167. a 45yo t1dm had an annual check up. ophthalmoscopy showed dot and blot hemorrhage + hard exudate and multiple cotton wool spots. what is the next step in management?,a. reassurance and annual screening only,b. urgent referral to ophthalmologist,c. laser therapy,d. non-urgent referral to ophthalmologist,e. nothing can be done,,,,,,key: the key is d. non-urgent referral to ophthalmologist. [it is pre-proliferative retinopathy so non-urgent referral; if proliferative (with neovascularization) urgent referral].,,
"168. a 2m baby who has ambiguous genitalia presents to the ed with vomiting. labs: na+=125mmol/l, k+=6mmol/l. what is the most likely dx?",a. fragile x syndrome,b. turners syndrome,c. noonan syndrome,d. congenital adrenal hyperplasia,,,,,,,"key: 1. the key is d. congenital adrenal hyperplasia key: 2. points in favour: i) ambiguous genitalia ii) salt wasting manifested as hyponatremia and hyperkalemia (in mild forms of salt-wasting adrenal hyperplasia, salt wasting may not become apparent until an illness stresses the child). [here hyperkalaemia inspite of vomiting is indicating the disease].",,
169. a 40yo man collapsed at home and died. the gps report says he suffered from t2dm and bmi=35. what is the most likely cause of death?,a. mi,b. dm,c. hf,d. pe,e. renal failure,,,,,,key: 1. the key is a. mi. key: 2. in diabetics mi become painless when the patient develop autonomic neuropathy (till there is no autonomic neuropathy diabetic patients will feel mi pain). in this case the disease was unnoticed as it was a painless attack.,,
"170. a 38yo pt presented with tingling, numbness, paraesthesia, resp stridor and involuntary spasm of the upper extremities. she has undergone surgery for thyroid carcinoma a week ago. what is the most likely dx?",a. thyroid storm,b. hyperparathyroidism,c. unilateral recurrent laryngeal nerve injury,d. external laryngeal nerve injury,e. hypocalcemia,,,,,,key: 1. the key is e. hypocalcaemia. key: 2. hypocalcaemia may be due to accidental parathyroid gland removal during thyroidectomy. key: 3. laryngospasm is a feature in hypocalcaemia which may cause stridor.,,
"171. a 50yo chronic smoker came to opd with complaint of chronic productive cough, sob and wheeze. labs: cbc=increase in pcv. cxr >6ribs seen above the diaphragm in midclavicular line. abg=po2 decreased. what is the most likely dx?",a. interstitial lung disease,b. wegener’s granulomatosis,c. ca bronchi,d. copd,e. amyloidosis,,,,,,"key: 1. the key is d. copd. key: 2. points in favour: i) age 50 yrs ii) chronic smoker iii) chronic productive cough, sob and wheeze iv) raised pcv secondary to chronic hypoxaemia v) low set diaphragm and widened horizontal ribs vi) hypoxaemia on abg.",,
172. a 44yo pt has sudden onset of breathlessness and stridor few minutes after extubation for thyroidectomy. the pat had longstanding goiter for which he had the surgery. what is the most likely dx?,a. thyroid storm,b. hematoma,c. unilateral recurrent laryngeal nerve injury,d. external laryngeal nerve injury,e. tracheomalacia,,,,,,key: the key is tracheomalacia. [prolonged pressure over trachea by goiter is a cause of tracheomalacia following thryroidectomy].,,
"173. a 15yo boy presents with generalized edema. his urinalysis reveals protein +++, egfr =110. what is the most likely dx?",a. iga nephropathy,b. membranous nephropathy,c. minimal change disease,d. psgn,e. lupus nephritis,,,,,,key: the key is c. minimal change disease. [points in favour: i) age 15 yrs ii) generalized oedema iii) protein in urine +++ vi) normal egfr of 110 (normal range- 90 to 120 ml/min)].,,
"174. a 72yo man is receiving chemotherapy for sclc. he has his 4th tx 8 days ago. he has a cough with some green sputum but feels well. temp=37.6c. chest exam = few coarse crepitations in the right base. hr=92bpm. cbc: hgb=12.5g/dl, wbc=1.1, neutrophils=0.6, plt=89. sputum, urine and blood culture sent to microbiology. what is the most appropriate management?",a. broad spectrum antibiotics iv,b. broad spectrum antibiotics po,c. gcsf,d. postpone tx until bacteriology results available,e. reassure and send home,,,,,,key: 1. the key is a. broad spectrum antibiotics iv key: 2. the diagnosis is lower respiratory tract infection. key: 3. gcsf subcutaneously. [it is the treatment of chemotherapy induced leucopenia].,,
