,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
832,833. a 44yo man went on holiday to sudan 5wks ago. he now presents with red urine and fever. exam: hepatomegaly. what is the most likely dx? ,a. malaria,b. brucellosis,c. leptospirosis,d. Schistosomiasis,,,,,,,"ans. the key is d. schistosomiasis. [holyday in sudan, hematuria, fever and hepatomegaly suggest schistosomiasis]. 834. a 32yo homosexual comes with hx of weight loss. fundoscopy reveals retinal hemorrhages. ",,,,
833,834. a 32yo homosexual comes with hx of weight loss. fundoscopy reveals retinal hemorrhages. what is the single most appropriate option? ,a. mycobacterium avium,b. cmv,c. hemophilus influenze,d. NHL,e. pneumocystic jerovici,,,,,,ans. the key is b. cmv. [weight loss in a homosexual is likely to be due to aids and cmv retinopathy with retinal hemorrhage is a recognized association]. 835. a 30yo man comes with hx of early morning back pain and stiffness. exam: red eyes. what is the ,,,,
834,835. a 30yo man comes with hx of early morning back pain and stiffness. exam: red eyes. what is the single most appropriate option? ,a. iris,b. ciliary body,c. cornea,d. Conjunctivitis,e. sclera,,,,,,ans. the key is a. iris. [young man with early morning back pain and stiffness is suggestive of seronegative arthritis likely ankylosing spondylitis where iritis is a common association]. 836. a 70yo woman with longstanding anxiety is seen in the opd. she complains of her heart skipping ,,,,
835,836. a 70yo woman with longstanding anxiety is seen in the opd. she complains of her heart skipping a beat quite often. this particularly occurs when she is trying to get to sleep. the palpitations are never sustained. what is the most likely rhythm disturbance? ,a. svt,b. vf,c. vt,d. V-ectopics,e. a-fib,,,,,,"ans. the key is d. v-ectopics. [v-ectopics if occurs in a normal heart though symptomatic it is benign in nature but if it is secondary to heart disease like mi it may precipitate to more life threatening arrhythmia like ventricular fibrillation]. 837. a 17yo has acute pain around his right eye, pain on one side of his face and ear ache too. what ",,,,
836,"837. a 17yo has acute pain around his right eye, pain on one side of his face and ear ache too. what is the single most dx? ",a. ear wax,b. ear foreign body,c. dental abscess,d. Cellulitis,e. herpes zoster,,,,,,"ans. the key is e. herpes zoster. [it seems to be herpes zoster of the trigeminal nerve. onset is acute, unilateral distribution favours herpes zoster]. 838. a 12yo boy presented with itching in his hands. exam: skin is dry and red. his mother is ",,,,
837,838. a 12yo boy presented with itching in his hands. exam: skin is dry and red. his mother is asthmatic and older brother has hay fever. what is the single most likely causative factor? ,a. dermatitis herpitiformis,b. scabies,c. eczema,d. Uremia,e. drug induced,,,,,,ans. the key is c. eczema. [itchy lesion and family history of asthma and hay fever in 1st degree relatives favours the diagnosis of eczema]. 839. a 45yo man presented with pruritic purple papules on the flexor surface of his wrist and some ,,,,
838,839. a 45yo man presented with pruritic purple papules on the flexor surface of his wrist and some white lacy markings on his buccal mucosa. what is the single most likely causative factor? ,a. all,b. lymphoma,c. polycythemia,d. IDA,e. lichen planus,,,,,,ans. the key is e. lichen planus. [white lacy pattern of lesion is characteristic of lichen planus]. 840. a known dm was admitted with sudden loc. what is the initial inv? ,,,,
839,840. a known dm was admitted with sudden loc. what is the initial inv? ,a. ct scan,b. rbs,c. mri,d. ECG,e. abg,,,,,,"ans. the key is b. rbs. [in unconsciousness in diabetics, first glycemic change should be excluded by doing rbs]. 841. a 36yo lady comes with hx of early morning stiffness of her small joints and with red and painful eye. what is the single most appropriate option? ",,,,
840,841. a 36yo lady comes with hx of early morning stiffness of her small joints and with red and painful eye. what is the single most appropriate option? ,a. iris,b. ciliary body,c. cornea,d. Conjunctivitis,e. sclera,f. lichen planus,,,,,"ans. the key is e. sclera. [ocular manifestation of rheumatoid arthritis is scleritis (red, painfull eye)]. 842. a 23yo man comes with 2d hx of sticky greenish discharge from the eyes with redness. what is ",,,,
841,842. a 23yo man comes with 2d hx of sticky greenish discharge from the eyes with redness. what is the single most appropriate option? ,a. iris,b. ciliary body,c. cornea,d. Conjunctivitis,e. sclera,,,,,,"ans. the key is d. conjunctivitis. [bacterial conjunctivitis can cause sticky greenish discharge]. 843. a pt was admitted with erectile dysfunction, reduced facial hair and galactorrhea. what is the ",,,,
842,"843. a pt was admitted with erectile dysfunction, reduced facial hair and galactorrhea. what is the most probable dx? ",a. hyperprolactinemia,b. cushing’s syndrome,c. pheochromocytoma,d. Hyperthyroidism,e. hypoparathyroidism,,,,,,ans. the key is a. hyperprolactinemia. 844. a 32yo man has been repeatedly admitted to hospital for what was described as anxiety or ,,,,
843,844. a 32yo man has been repeatedly admitted to hospital for what was described as anxiety or panic attacks and palpitations. on occasions he is found to be tremulous and hypertensive. a persistent weight loss is noted. what is the most probable dx? ,a. hyperthyroidism,b. panic attacks,c. pheochromocytoma,d. Cushing’s disease,e. gad,,,,,,ans. the key is c. pheochromocytoma. 845. a 35yo man with t1dm is dehydrated with bp of 90/50mmhg. what is the single most ,,,,
844,845. a 35yo man with t1dm is dehydrated with bp of 90/50mmhg. what is the single most appropriate initial inv? ,a. abg,b. cbc,c. hba1c,d. LFT,e. serum urea,,,,,,ans. the key is a. abg. [dehydration with low bp points towards probable dka. so from the given options abg is the best response]. 846. in ogtt what is the glucose venous plasma level 2h after glucose intake which indicates ,,,,
845,846. in ogtt what is the glucose venous plasma level 2h after glucose intake which indicates impaired glucose tolerance? ,a. >11.1mmol/l,b. between 7.8-11.0mmol/l,c. between 8.0-10.9mmol/l,d. Between 10.0-11.0mmol/l,e. between 7.1-11.0mmol/l,,,,,,"ans. the key is b. between 7.8-11.0mmol/l. 847. a young man who has no pmh presented with jaundice, low hgb, retics 8% and other indices ",,,,
846,"847. a young man who has no pmh presented with jaundice, low hgb, retics 8% and other indices wnl but occasional spherocytes were seen on blood film. what is the single most appropriate inv? ",a. g6pd enzyme assay,b. direct coombs test,c. repeat blood film,d. Indirect coombs test,e. bma,,,,,,"ans. the key is b. direct coombs test. [the direct coombs test, is used to determine whether the cause of hemolytic anemia, is due to antibodies attached to rbcs which are seen in autoimmune-related hemolytic anemia]. 848. a 22yo man came to the hosp after an injury in his hand while playing basketball. exam: avulsion ",,,,
847,848. a 22yo man came to the hosp after an injury in his hand while playing basketball. exam: avulsion of extensor tendon from the distal phalanx. what is the single most probable deformity? ,a. dinner fork deformity,b. game keeper thumb,c. mallet finger,d. Gun-stock deformity,e. garden spade deformi,,,,,,ans. the key is c. mallet finger. [a finger that bends down at the end joint and cannot be straightened is called a mallet finger. it is caused by an injury to the extensor tendon that straightens (extends) the finger. a splint worn day and night for 6-8 weeks will cure the problem in most cases]. 849. a 28yo man is inv for recurrent lower back pain. a dx of as is suspected. which of the following ,,,,
848,849. a 28yo man is inv for recurrent lower back pain. a dx of as is suspected. which of the following inv is most useful? ,a. esr,b. xr sacro-iliac joints,c. hla b27,d. XR thoracic spine,e. ct lumbar spine,,,,,,"ans. the key is b. xr sacro-iliac joints. [x-ray sacroiliac joint shows fusion of both si joints and thin, symmetrical syndesmophytes bridging the intervertebral disc spaces]. 850. a 4yo girl is taken by her mother to the ed and complains of feeling unwell, urinary urgency and temp=39c. what is the single next best inv? ",,,,
849,"850. a 4yo girl is taken by her mother to the ed and complains of feeling unwell, urinary urgency and temp=39c. what is the single next best inv? ",a. catheter catch of urine,b. clean catch of urine,c. us,d. IVU,e. suprapubic catch of urine,,,,,,"ans. the key is b. clean catch of urine. [the clinical features described are consistent with urinary tract infection for which clean catch of urine is the next best investigation]. 851. a 2yo girl presents with a 4d hx of fever that started with a cough. her rr=45bpm, sat=94%, ",,,,
850,"851. a 2yo girl presents with a 4d hx of fever that started with a cough. her rr=45bpm, sat=94%, temp=38.9c, capillary refill time=1s. there are crepitations at the left base on auscultation. urine shows negative dipstick. what is the single inv most likely to lead to dx? ",a. blood for c&s,b. esr,c. cxr,d. Urine for C&S,e. csf analysis,,,,,,ans. the key is c. cxr. [the features are consistent with rti (probable pneumonia) for which cxr is the investigation of choice]. 852. a 3yo girl presents with fever for 2d. she is drowsy and had a seizure causing twitching of the ,,,,
851,"852. a 3yo girl presents with fever for 2d. she is drowsy and had a seizure causing twitching of the right side of the body for 4mins. her rr=30bpm, sat=90%, temp=38.9c, capillary refill time=2s. urine negative on dipstick. what is the single inv most likely to lead to dx? ",a. blood for c&s,b. esr,c. cxr,d. Urine for C&S,e. csf analysis,,,,,,"ans. the key is e. csf analysis. [it is really very difficult to differentiate between encephalitis and meningitis. encephalitis is mostly viral and in uk herpes simplex virus is the main cause. meningitis also has a viral predominance though less than encephalitis.  because encephalitis involves infection of the brain itself, symptoms of altered brain function--like confusion or decreased alertness--are usually present, while in cases of meningitis the patient is initially alert and, though understandably distracted by pain and misery, still in command of their mental processes. as csf can not differentia between meningitis and encephalitis we have to take help of imaging like mri. in herpes simplex encephalitis there is characteristic hyperintensity in fronto-temporal region. in the given case there are features of raised intracranial pressure like drowsiness and seizer and so we cannot proceed for lp unless guided by ct (or mri). on the other hand there is no other option that can be diagnostic of the given condition. so we have to happy with csf analysis as the key though at this moment we have to withheld this procedure]. 853. a 6m boy is admitted with persistent irritability. he is lethargic and is not feeding as well as ",,,,
